inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
154,82,5,345,19,600,2025-07-15
155,82,2,254,24,798,2025-09-09
156,83,3,62,31,306,2025-09-02
157,83,3,33,23,302,2024-08-15
158,84,5,373,45,257,2024-10-26
159,84,5,144,21,756,2025-01-11
160,84,4,162,35,780,2024-08-19
161,85,2,26,37,430,2025-05-27
162,85,2,324,38,638,2024-06-23
163,86,1,347,46,781,2025-09-24
164,86,1,316,47,315,2024-02-28
165,87,1,127,31,539,2025-11-12
166,87,4,273,30,593,2024-10-17
167,88,4,164,37,824,2025-06-15
168,88,5,442,42,931,2025-07-25
169,89,2,233,35,555,2025-01-25
170,89,3,115,22,406,2024-07-07
171,90,4,304,15,235,2025-01-26
172,91,4,34,21,373,2025-07-03
173,91,2,473,23,252,2025-04-13
174,92,3,255,23,831,2025-09-25
175,93,2,187,32,448,2025-04-23
176,93,4,99,46,636,2025-04-26
177,94,3,479,43,728,2024-10-20
178,94,3,104,42,395,2024-10-10
179,95,1,63,17,723,2024-01-16
180,96,1,122,14,643,2025-06-11
181,96,4,2,10,423,2025-01-30
182,97,5,381,20,799,2025-04-30
183,97,4,312,20,754,2024-06-23
184,98,1,115,35,710,2025-03-23
185,98,1,99,44,365,2025-11-20
186,99,5,495,19,315,2025-07-24
187,99,3,367,37,361,2024-05-13
188,100,5,114,27,299,2024-10-28
189,100,4,357,47,684,2024-09-27
