total_amount,order_id
32669.57,12
32598.399999999998,12
32584.52,10
32245.44,12
32206.239999999998,11
32011.88,10
32001.14,10
31780.82,12
31752.55,9
31746.72,12
31713.96,11
31696.67,8
31685.559999999998,13
31626.05,8
31610.46,12
31528.239999999998,11
31429.65,9
31416.23,9
31174.85,11
31112.24,9
31058.37,12
30982.01,10
30923.0,12
30901.239999999998,11
30773.0,13
30727.010000000002,11
30587.7,13
30553.23,10
30483.14,11
30467.73,7
30406.67,10
30259.22,13
30212.89,8
30142.760000000002,11
30132.38,10
30067.46,10
30038.73,11
29998.75,13
29976.29,10
29882.04,10
29877.3,12
29856.76,11
29802.82,13
29690.19,9
29683.86,11
29665.059999999998,12
29648.399999999998,13
29618.75,10
29440.07,12
29337.48,11
29324.3,9
29229.0,9
29205.6,10
29153.899999999998,10
29126.210000000003,9
29020.47,13
28952.28,10
28916.64,7
28913.68,10
28903.4,14
28882.37,11
28840.89,8
28816.16,9
28792.0,7
28723.69,9
28712.36,13
28663.9,11
28648.92,12
28610.13,10
28535.79,11
28530.239999999998,9
28527.81,8
28456.73,7
28426.21,9
28421.0,9
28318.12,7
28302.81,8
28284.170000000002,7
28139.95,7
28136.35,12
28118.93,11
28104.2,16
28096.41,9
28067.760000000002,7
28024.22,10
27969.1,11
27926.41,9
27915.32,12
27890.19,10
27848.22,9
27831.63,8
27669.1,11
27644.46,9
27574.82,13
27561.93,8
27398.42,8
27223.66,8
27180.829999999998,11
27139.64,11
27091.120000000003,10
27047.190000000002,12
27027.129999999997,9
26911.3,10
26860.47,10
26826.3,10
26718.8,11
26616.829999999998,8
26544.97,10
26500.35,12
26494.9,9
26173.27,7
26153.010000000002,12
25986.26,9
25880.510000000002,13
25818.73,10
25724.079999999998,7
25715.72,9
25569.13,11
25549.239999999998,6
25539.19,12
25532.93,9
25445.14,10
25439.44,12
25390.81,9
25300.71,11
25282.11,10
25271.989999999998,8
25247.9,7
25247.219999999998,9
25240.46,8
25185.71,8
25169.2,11
25156.65,8
25129.22,8
25123.670000000002,9
25109.87,10
25030.09,14
24953.190000000002,11
24932.37,12
24906.22,8
24805.420000000002,8
24576.1,9
24538.199999999997,8
24493.1,7
24483.77,12
24467.37,9
24424.309999999998,9
24287.98,9
24261.13,9
24224.66,10
24206.94,11
24083.5,13
23942.53,8
23860.04,8
23810.75,10
23712.99,9
23659.39,9
23655.29,9
23571.850000000002,8
23500.93,8
23495.66,8
23471.45,12
23410.4,11
23364.07,8
23347.809999999998,10
23287.77,11
23205.35,10
23196.8,7
23196.07,9
23160.059999999998,9
23118.7,7
23069.71,8
23063.7,13
23000.739999999998,9
22996.05,9
22988.95,8
22951.34,9
22870.34,7
22758.84,9
22730.45,9
22479.58,11
22376.989999999998,9
22343.3,10
22331.28,8
22211.3,11
22208.33,10
22158.97,8
22155.89,9
22132.86,7
22044.059999999998,8
22016.29,8
21960.39,8
21949.48,6
21886.11,10
21853.399999999998,12
21799.940000000002,10
21761.41,7
21757.010000000002,7
21711.31,11
21613.31,8
21532.63,7
21515.57,8
21507.79,9
21400.25,6
21358.99,8
21349.22,10
21310.670000000002,9
21168.05,10
21117.33,7
21116.88,8
21050.65,7
21048.31,8
20999.64,7
20956.34,6
20865.2,10
20813.04,7
20733.829999999998,8
20673.33,7
20641.989999999998,9
20481.62,8
20481.25,11
20439.96,6
20437.7,10
20325.08,9
20306.489999999998,6
20253.88,5
20209.88,10
20191.41,8
20146.43,11
20066.92,9
20045.989999999998,8
20043.36,8
20019.3,8
19996.239999999998,8
19986.15,7
19928.03,9
19918.92,8
19890.73,10
19722.14,11
19707.31,8
19616.4,9
19597.170000000002,7
19572.3,8
19524.6,7
19503.81,9
19471.82,8
19420.43,8
19378.09,7
19317.6,9
19285.25,9
19156.22,7
19064.11,7
18917.739999999998,8
18906.46,8
18803.41,8
18731.64,6
18693.489999999998,8
18454.64,8
18377.89,9
18364.39,8
18341.45,6
18291.2,7
18221.49,6
18198.809999999998,7
18198.12,6
18103.68,7
18056.4,6
17906.65,5
17824.13,8
17811.95,7
17682.170000000002,9
17528.04,6
17521.41,7
17451.89,8
17420.87,7
17318.46,7
17226.14,7
17178.09,8
17141.38,6
17096.3,8
17062.17,9
16846.690000000002,9
16840.01,7
16539.93,10
16346.76,5
16294.9,7
16269.9,8
16227.27,6
16103.0,7
16097.3,8
16059.66,7
15918.78,8
15854.8,6
15738.61,7
15712.0,8
15598.93,7
15554.48,8
15537.26,9
15244.810000000001,6
15115.669999999998,7
15076.08,6
14982.65,6
14933.0,6
14790.5,7
14760.58,9
14698.95,7
14272.630000000001,6
14215.119999999999,5
14089.8,7
13534.7,8
13250.08,5
13124.720000000001,5
13108.94,6
13080.810000000001,6
12933.38,5
12839.05,5
12670.85,5
12322.949999999999,8
12180.26,6
12069.210000000001,5
11813.539999999999,5
11772.619999999999,5
11718.98,9
10963.82,4
10848.24,6
10619.83,4
10320.66,4
10316.69,5
10316.45,3
10116.41,5
9511.19,6
9194.59,4
9187.29,5
8884.83,5
8757.68,4
8719.1,5
8652.38,3
8351.43,7
8120.46,4
7441.41,5
7343.26,4
7324.110000000001,4
